match_id,minute,game_version,game_duration,blue_gold,red_gold,gold_diff,blue_xp,red_xp,xp_diff,blue_cs,red_cs,cs_diff,blue_kills,red_kills,kill_diff,blue_towers_destroyed,red_towers_destroyed,tower_diff,blue_dragons,red_dragons,dragon_diff,blue_dragons_to_soul,red_dragons_to_soul,blue_has_soul,red_has_soul,blue_elders,red_elders,blue_heralds,red_heralds,blue_barons,red_barons,blue_inhibs_alive,red_inhibs_alive,blue_nexus_turrets_alive,red_nexus_turrets_alive,blue_win
NA1_5645237317,0,16.18.817.5716,1623,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,1,16.18.817.5716,1623,2515,2520,-5,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,2,16.18.817.5716,1623,3851,3837,14,2456,2503,-47,38,38,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,3,16.18.817.5716,1623,5342,5469,-127,4995,5316,-321,80,86,-6,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,4,16.18.817.5716,1623,6732,7302,-570,6711,7033,-322,110,117,-7,0,1,-1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,5,16.18.817.5716,1623,8496,8401,95,8748,8385,363,145,142,3,1,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,6,16.18.817.5716,1623,10420,10381,39,10840,11061,-221,177,181,-4,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,7,16.18.817.5716,1623,12727,12468,259,13438,13691,-253,214,224,-10,4,3,1,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,8,16.18.817.5716,1623,14721,14401,320,14821,14453,368,234,231,3,6,5,1,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,9,16.18.817.5716,1623,15979,15985,-6,16631,16846,-215,265,273,-8,6,5,1,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,10,16.18.817.5716,1623,18259,18603,-344,18662,18986,-324,296,300,-4,8,8,0,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,11,16.18.817.5716,1623,21851,19671,2180,22414,20132,2282,338,317,21,12,8,4,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,12,16.18.817.5716,1623,23293,23073,220,24848,23265,1583,371,359,12,12,10,2,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,13,16.18.817.5716,1623,25509,24777,732,27952,26250,1702,412,406,6,13,10,3,0,0,0,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,14,16.18.817.5716,1623,27794,26200,1594,30203,28799,1404,430,438,-8,15,10,5,0,0,0,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,15,16.18.817.5716,1623,30155,28830,1325,33726,31712,2014,483,476,7,16,11,5,0,0,0,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,16,16.18.817.5716,1623,31736,30592,1144,36122,34331,1791,522,523,-1,16,11,5,0,0,0,0,2,-2,4,2,0,0,0,0,0,0,0,0,3,3,2,2,0
NA1_5645237317,17,16.18.817.5716,1623,33159,33347,-188,37697,37504,193,549,546,3,16,13,3,0,1,-1,0,2,-2,4,2,0,0,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,18,16.18.817.5716,1623,34268,36684,-2416,38726,42436,-3710,565,580,-15,16,17,-1,0,1,-1,0,3,-3,4,1,0,0,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,19,16.18.817.5716,1623,35616,39556,-3940,40860,45646,-4786,597,625,-28,16,18,-2,0,2,-2,0,3,-3,4,1,0,0,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,20,16.18.817.5716,1623,39259,41872,-2613,43912,48598,-4686,610,645,-35,19,20,-1,1,2,-1,0,3,-3,4,1,0,0,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,21,16.18.817.5716,1623,40727,44112,-3385,45623,51644,-6021,638,679,-41,19,21,-2,1,3,-2,0,3,-3,4,1,0,0,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,22,16.18.817.5716,1623,41831,49073,-7242,46701,56974,-10273,655,723,-68,19,25,-6,1,5,-4,0,3,-3,4,1,0,0,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,23,16.18.817.5716,1623,43364,50817,-7453,49431,58950,-9519,700,744,-44,19,26,-7,1,6,-5,0,3,-3,4,1,0,0,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,24,16.18.817.5716,1623,44687,52986,-8299,50913,62897,-11984,726,808,-82,19,26,-7,1,6,-5,0,4,-4,4,0,0,1,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,25,16.18.817.5716,1623,48250,55134,-6884,55335,64947,-9612,778,845,-67,20,26,-6,2,6,-4,0,4,-4,4,0,0,1,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,26,16.18.817.5716,1623,50365,56589,-6224,56934,66430,-9496,804,872,-68,20,26,-6,3,6,-3,0,4,-4,4,0,0,1,0,0,0,1,0,0,3,3,2,2,0
NA1_5645237317,27,16.18.817.5716,1623,52675,62677,-10002,58255,72284,-14029,808,906,-98,21,31,-10,3,8,-5,0,4,-4,4,0,0,1,0,0,0,1,0,0,2,3,0,2,0
NA1_5645237317,27,16.18.817.5716,1623,52698,62699,-10001,58255,72284,-14029,808,906,-98,21,31,-10,3,8,-5,0,4,-4,4,0,0,1,0,0,0,1,0,0,2,3,0,2,0
NA1_5646584801,0,16.18.817.5716,1524,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,1,16.18.817.5716,1524,2505,2500,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,2,16.18.817.5716,1524,3700,4392,-692,2085,2729,-644,31,41,-10,0,1,-1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,3,16.18.817.5716,1524,5085,6049,-964,4853,5037,-184,69,85,-16,0,1,-1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,4,16.18.817.5716,1524,6335,7857,-1522,6872,7193,-321,100,115,-15,0,2,-2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,5,16.18.817.5716,1524,7697,9640,-1943,9064,9663,-599,137,154,-17,0,3,-3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,6,16.18.817.5716,1524,9183,11315,-2132,11608,11681,-73,180,182,-2,0,4,-4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,2,2,1
NA1_5646584801,7,16.18.817.5716,1524,10405,12714,-2309,13502,14325,-823,206,219,-13,0,4,-4,0,0,0,0,1,-1,4,3,0,0,0,0,0,0,0,0,3,3,2,2,1
